filename,drop_rate,throughput,RTT,varients,cbr_rate,simulation
ex1_vegas_cbr1_simulation0.tr,0.0,96,0.06343412596273448,vegas,1,simulation0
ex1_reno_cbr1_simulation0.tr,0.005008944543828265,66,0.07167104370961602,reno,1,simulation0
ex1_tahoe_cbr1_simulation0.tr,0.003915635845866334,89,0.07460569362974168,tahoe,1,simulation0
ex1_newreno_cbr1_simulation0.tr,0.0031759656652360514,92,0.07362923076231642,newreno,1,simulation0
ex1_vegas_cbr2_simulation0.tr,0.0,96,0.06343412596273448,vegas,2,simulation0
ex1_reno_cbr2_simulation0.tr,0.005008944543828265,66,0.07167104370961602,reno,2,simulation0
ex1_tahoe_cbr2_simulation0.tr,0.003915635845866334,89,0.07460569362974168,tahoe,2,simulation0
ex1_newreno_cbr2_simulation0.tr,0.0031759656652360514,92,0.07362923076231642,newreno,2,simulation0
ex1_vegas_cbr4_simulation0.tr,0.0,96,0.06343412596273448,vegas,4,simulation0
ex1_reno_cbr4_simulation0.tr,0.005008944543828265,66,0.07167104370961602,reno,4,simulation0
ex1_tahoe_cbr4_simulation0.tr,0.003915635845866334,89,0.07460569362974168,tahoe,4,simulation0
ex1_newreno_cbr4_simulation0.tr,0.0031759656652360514,92,0.07362923076231642,newreno,4,simulation0
ex1_vegas_cbr8_simulation0.tr,0.0,96,0.06343412596273448,vegas,8,simulation0
ex1_reno_cbr8_simulation0.tr,0.005008944543828265,66,0.07167104370961602,reno,8,simulation0
ex1_tahoe_cbr8_simulation0.tr,0.003915635845866334,89,0.07460569362974168,tahoe,8,simulation0
ex1_newreno_cbr8_simulation0.tr,0.0031759656652360514,92,0.07362923076231642,newreno,8,simulation0
ex1_vegas_cbr1_simulation1.tr,0.0,87,0.06341026293539345,vegas,1,simulation1
ex1_reno_cbr1_simulation1.tr,0.005531410509679968,60,0.07261700997611295,reno,1,simulation1
ex1_tahoe_cbr1_simulation1.tr,0.0042671429989084055,80,0.0726801979700755,tahoe,1,simulation1
ex1_newreno_cbr1_simulation1.tr,0.0034534254246779915,85,0.0745158793876758,newreno,1,simulation1
ex1_vegas_cbr2_simulation1.tr,0.0,87,0.06341026293539345,vegas,2,simulation1
ex1_reno_cbr2_simulation1.tr,0.005531410509679968,60,0.07261700997611295,reno,2,simulation1
ex1_tahoe_cbr2_simulation1.tr,0.0042671429989084055,80,0.0726801979700755,tahoe,2,simulation1
ex1_newreno_cbr2_simulation1.tr,0.0034534254246779915,85,0.0745158793876758,newreno,2,simulation1
ex1_vegas_cbr4_simulation1.tr,0.0,87,0.06341026293539345,vegas,4,simulation1
ex1_reno_cbr4_simulation1.tr,0.005531410509679968,60,0.07261700997611295,reno,4,simulation1
ex1_tahoe_cbr4_simulation1.tr,0.0042671429989084055,80,0.0726801979700755,tahoe,4,simulation1
ex1_newreno_cbr4_simulation1.tr,0.0034534254246779915,85,0.0745158793876758,newreno,4,simulation1
ex1_vegas_cbr8_simulation1.tr,0.0,87,0.06341026293539345,vegas,8,simulation1
ex1_reno_cbr8_simulation1.tr,0.005531410509679968,60,0.07261700997611295,reno,8,simulation1
ex1_tahoe_cbr8_simulation1.tr,0.0042671429989084055,80,0.0726801979700755,tahoe,8,simulation1
ex1_newreno_cbr8_simulation1.tr,0.0034534254246779915,85,0.0745158793876758,newreno,8,simulation1
ex1_vegas_cbr1_simulation2.tr,0.0,77,0.06338051729121642,vegas,1,simulation2
ex1_reno_cbr1_simulation2.tr,0.005950694247662227,56,0.07335983854875207,reno,1,simulation2
ex1_tahoe_cbr1_simulation2.tr,0.004823331463825014,70,0.07159115651760288,tahoe,1,simulation2
ex1_newreno_cbr1_simulation2.tr,0.003766478342749529,75,0.07257666480140441,newreno,1,simulation2
ex1_vegas_cbr2_simulation2.tr,0.0,77,0.06338051729121642,vegas,2,simulation2
ex1_reno_cbr2_simulation2.tr,0.005950694247662227,56,0.07335983854875207,reno,2,simulation2
ex1_tahoe_cbr2_simulation2.tr,0.004823331463825014,70,0.07159115651760288,tahoe,2,simulation2
ex1_newreno_cbr2_simulation2.tr,0.003766478342749529,75,0.07257666480140441,newreno,2,simulation2
ex1_vegas_cbr4_simulation2.tr,0.0,77,0.06338051729121642,vegas,4,simulation2
ex1_reno_cbr4_simulation2.tr,0.005950694247662227,56,0.07335983854875207,reno,4,simulation2
ex1_tahoe_cbr4_simulation2.tr,0.004823331463825014,70,0.07159115651760288,tahoe,4,simulation2
ex1_newreno_cbr4_simulation2.tr,0.003766478342749529,75,0.07257666480140441,newreno,4,simulation2
ex1_vegas_cbr8_simulation2.tr,0.0,77,0.06338051729121642,vegas,8,simulation2
ex1_reno_cbr8_simulation2.tr,0.005950694247662227,56,0.07335983854875207,reno,8,simulation2
ex1_tahoe_cbr8_simulation2.tr,0.004823331463825014,70,0.07159115651760288,tahoe,8,simulation2
ex1_newreno_cbr8_simulation2.tr,0.003766478342749529,75,0.07257666480140441,newreno,8,simulation2
ex1_vegas_cbr1_simulation3.tr,0.0,87,0.06341026293539345,vegas,1,simulation3
ex1_reno_cbr1_simulation3.tr,0.005531410509679968,60,0.07261700997611295,reno,1,simulation3
ex1_tahoe_cbr1_simulation3.tr,0.0042671429989084055,80,0.0726801979700755,tahoe,1,simulation3
ex1_newreno_cbr1_simulation3.tr,0.0034534254246779915,85,0.0745158793876758,newreno,1,simulation3
ex1_vegas_cbr2_simulation3.tr,0.0,87,0.06341026293539345,vegas,2,simulation3
ex1_reno_cbr2_simulation3.tr,0.005531410509679968,60,0.07261700997611295,reno,2,simulation3
ex1_tahoe_cbr2_simulation3.tr,0.0042671429989084055,80,0.0726801979700755,tahoe,2,simulation3
ex1_newreno_cbr2_simulation3.tr,0.0034534254246779915,85,0.0745158793876758,newreno,2,simulation3
ex1_vegas_cbr4_simulation3.tr,0.0,87,0.06341026293539345,vegas,4,simulation3
ex1_reno_cbr4_simulation3.tr,0.005531410509679968,60,0.07261700997611295,reno,4,simulation3
ex1_tahoe_cbr4_simulation3.tr,0.0042671429989084055,80,0.0726801979700755,tahoe,4,simulation3
ex1_newreno_cbr4_simulation3.tr,0.0034534254246779915,85,0.0745158793876758,newreno,4,simulation3
ex1_vegas_cbr8_simulation3.tr,0.0,87,0.06341026293539345,vegas,8,simulation3
ex1_reno_cbr8_simulation3.tr,0.005531410509679968,60,0.07261700997611295,reno,8,simulation3
ex1_tahoe_cbr8_simulation3.tr,0.0042671429989084055,80,0.0726801979700755,tahoe,8,simulation3
ex1_newreno_cbr8_simulation3.tr,0.0034534254246779915,85,0.0745158793876758,newreno,8,simulation3
ex1_vegas_cbr1_simulation4.tr,0.0,77,0.06338051729121642,vegas,1,simulation4
ex1_reno_cbr1_simulation4.tr,0.005950694247662227,56,0.07335983854875207,reno,1,simulation4
ex1_tahoe_cbr1_simulation4.tr,0.004823331463825014,70,0.07159115651760288,tahoe,1,simulation4
ex1_newreno_cbr1_simulation4.tr,0.003766478342749529,75,0.07257666480140441,newreno,1,simulation4
ex1_vegas_cbr2_simulation4.tr,0.0,77,0.06338051729121642,vegas,2,simulation4
ex1_reno_cbr2_simulation4.tr,0.005950694247662227,56,0.07335983854875207,reno,2,simulation4
ex1_tahoe_cbr2_simulation4.tr,0.004823331463825014,70,0.07159115651760288,tahoe,2,simulation4
ex1_newreno_cbr2_simulation4.tr,0.003766478342749529,75,0.07257666480140441,newreno,2,simulation4
ex1_vegas_cbr4_simulation4.tr,0.0,77,0.06338051729121642,vegas,4,simulation4
ex1_reno_cbr4_simulation4.tr,0.005950694247662227,56,0.07335983854875207,reno,4,simulation4
ex1_tahoe_cbr4_simulation4.tr,0.004823331463825014,70,0.07159115651760288,tahoe,4,simulation4
ex1_newreno_cbr4_simulation4.tr,0.003766478342749529,75,0.07257666480140441,newreno,4,simulation4
ex1_vegas_cbr8_simulation4.tr,0.0,77,0.06338051729121642,vegas,8,simulation4
ex1_reno_cbr8_simulation4.tr,0.005950694247662227,56,0.07335983854875207,reno,8,simulation4
ex1_tahoe_cbr8_simulation4.tr,0.004823331463825014,70,0.07159115651760288,tahoe,8,simulation4
ex1_newreno_cbr8_simulation4.tr,0.003766478342749529,75,0.07257666480140441,newreno,8,simulation4
ex1_vegas_cbr1_simulation5.tr,0.0,68,0.06334240798304633,vegas,1,simulation5
ex1_reno_cbr1_simulation5.tr,0.006185248183083346,51,0.07147688969377594,reno,1,simulation5
ex1_tahoe_cbr1_simulation5.tr,0.005546240165097382,61,0.07196047768595032,tahoe,1,simulation5
ex1_newreno_cbr1_simulation5.tr,0.004287756074321105,66,0.07152147181418675,newreno,1,simulation5
ex1_vegas_cbr2_simulation5.tr,0.0,68,0.06334240798304633,vegas,2,simulation5
ex1_reno_cbr2_simulation5.tr,0.006185248183083346,51,0.07147688969377594,reno,2,simulation5
ex1_tahoe_cbr2_simulation5.tr,0.005546240165097382,61,0.07196047768595032,tahoe,2,simulation5
ex1_newreno_cbr2_simulation5.tr,0.004287756074321105,66,0.07152147181418675,newreno,2,simulation5
ex1_vegas_cbr4_simulation5.tr,0.0,68,0.06334240798304633,vegas,4,simulation5
ex1_reno_cbr4_simulation5.tr,0.006185248183083346,51,0.07147688969377594,reno,4,simulation5
ex1_tahoe_cbr4_simulation5.tr,0.005546240165097382,61,0.07196047768595032,tahoe,4,simulation5
ex1_newreno_cbr4_simulation5.tr,0.004287756074321105,66,0.07152147181418675,newreno,4,simulation5
ex1_vegas_cbr8_simulation5.tr,0.0,68,0.06334240798304633,vegas,8,simulation5
ex1_reno_cbr8_simulation5.tr,0.006185248183083346,51,0.07147688969377594,reno,8,simulation5
ex1_tahoe_cbr8_simulation5.tr,0.005546240165097382,61,0.07196047768595032,tahoe,8,simulation5
ex1_newreno_cbr8_simulation5.tr,0.004287756074321105,66,0.07152147181418675,newreno,8,simulation5
ex1_vegas_cbr1_simulation6.tr,0.0,63,0.06331903128166351,vegas,1,simulation6
ex1_reno_cbr1_simulation6.tr,0.0067946322405299815,46,0.06948794254545353,reno,1,simulation6
ex1_tahoe_cbr1_simulation6.tr,0.005973051812751771,57,0.07267419931476199,tahoe,1,simulation6
ex1_newreno_cbr1_simulation6.tr,0.004605936540429887,62,0.07152282438100399,newreno,1,simulation6
ex1_vegas_cbr2_simulation6.tr,0.0,63,0.06331903128166351,vegas,2,simulation6
ex1_reno_cbr2_simulation6.tr,0.0067946322405299815,46,0.06948794254545353,reno,2,simulation6
ex1_tahoe_cbr2_simulation6.tr,0.005973051812751771,57,0.07267419931476199,tahoe,2,simulation6
ex1_newreno_cbr2_simulation6.tr,0.004605936540429887,62,0.07152282438100399,newreno,2,simulation6
ex1_vegas_cbr4_simulation6.tr,0.0,63,0.06331903128166351,vegas,4,simulation6
ex1_reno_cbr4_simulation6.tr,0.0067946322405299815,46,0.06948794254545353,reno,4,simulation6
ex1_tahoe_cbr4_simulation6.tr,0.005973051812751771,57,0.07267419931476199,tahoe,4,simulation6
ex1_newreno_cbr4_simulation6.tr,0.004605936540429887,62,0.07152282438100399,newreno,4,simulation6
ex1_vegas_cbr8_simulation6.tr,0.0,63,0.06331903128166351,vegas,8,simulation6
ex1_reno_cbr8_simulation6.tr,0.0067946322405299815,46,0.06948794254545353,reno,8,simulation6
ex1_tahoe_cbr8_simulation6.tr,0.005973051812751771,57,0.07267419931476199,tahoe,8,simulation6
ex1_newreno_cbr8_simulation6.tr,0.004605936540429887,62,0.07152282438100399,newreno,8,simulation6
ex1_vegas_cbr1_simulation7.tr,0.0,96,0.06343412596273448,vegas,1,simulation7
ex1_reno_cbr1_simulation7.tr,0.005008944543828265,66,0.07167023286456342,reno,1,simulation7
ex1_tahoe_cbr1_simulation7.tr,0.003915635845866334,89,0.07460509583411304,tahoe,1,simulation7
ex1_newreno_cbr1_simulation7.tr,0.0031759656652360514,92,0.07362865542970225,newreno,1,simulation7
ex1_vegas_cbr2_simulation7.tr,0.0,96,0.06343412596273448,vegas,2,simulation7
ex1_reno_cbr2_simulation7.tr,0.005008944543828265,66,0.07167023286456342,reno,2,simulation7
ex1_tahoe_cbr2_simulation7.tr,0.003915635845866334,89,0.07460509583411304,tahoe,2,simulation7
ex1_newreno_cbr2_simulation7.tr,0.0031759656652360514,92,0.07362865542970225,newreno,2,simulation7
ex1_vegas_cbr4_simulation7.tr,0.0,96,0.06343412596273448,vegas,4,simulation7
ex1_reno_cbr4_simulation7.tr,0.005008944543828265,66,0.07167023286456342,reno,4,simulation7
ex1_tahoe_cbr4_simulation7.tr,0.003915635845866334,89,0.07460509583411304,tahoe,4,simulation7
ex1_newreno_cbr4_simulation7.tr,0.0031759656652360514,92,0.07362865542970225,newreno,4,simulation7
ex1_vegas_cbr8_simulation7.tr,0.0,96,0.06343412596273448,vegas,8,simulation7
ex1_reno_cbr8_simulation7.tr,0.005008944543828265,66,0.07167023286456342,reno,8,simulation7
ex1_tahoe_cbr8_simulation7.tr,0.003915635845866334,89,0.07460509583411304,tahoe,8,simulation7
ex1_newreno_cbr8_simulation7.tr,0.0031759656652360514,92,0.07362865542970225,newreno,8,simulation7
ex1_vegas_cbr1_simulation8.tr,0.0,96,0.06343392720497051,vegas,1,simulation8
ex1_reno_cbr1_simulation8.tr,0.004200389304374552,77,0.07098089260658388,reno,1,simulation8
ex1_tahoe_cbr1_simulation8.tr,0.003861003861003861,89,0.07425607096347989,tahoe,1,simulation8
ex1_newreno_cbr1_simulation8.tr,0.0035694673256452497,86,0.07326182339955901,newreno,1,simulation8
ex1_vegas_cbr2_simulation8.tr,0.0,96,0.06343392720497051,vegas,2,simulation8
ex1_reno_cbr2_simulation8.tr,0.004200389304374552,77,0.07098089260658388,reno,2,simulation8
ex1_tahoe_cbr2_simulation8.tr,0.003861003861003861,89,0.07425607096347989,tahoe,2,simulation8
ex1_newreno_cbr2_simulation8.tr,0.0035694673256452497,86,0.07326182339955901,newreno,2,simulation8
ex1_vegas_cbr4_simulation8.tr,0.0,96,0.06343392720497051,vegas,4,simulation8
ex1_reno_cbr4_simulation8.tr,0.004200389304374552,77,0.07098089260658388,reno,4,simulation8
ex1_tahoe_cbr4_simulation8.tr,0.003861003861003861,89,0.07425607096347989,tahoe,4,simulation8
ex1_newreno_cbr4_simulation8.tr,0.0035694673256452497,86,0.07326182339955901,newreno,4,simulation8
ex1_vegas_cbr8_simulation8.tr,0.0,96,0.06343392720497051,vegas,8,simulation8
ex1_reno_cbr8_simulation8.tr,0.004200389304374552,77,0.07098089260658388,reno,8,simulation8
ex1_tahoe_cbr8_simulation8.tr,0.003861003861003861,89,0.07425607096347989,tahoe,8,simulation8
ex1_newreno_cbr8_simulation8.tr,0.0035694673256452497,86,0.07326182339955901,newreno,8,simulation8
ex1_vegas_cbr1_simulation9.tr,0.0,96,0.06341410093116354,vegas,1,simulation9
ex1_reno_cbr1_simulation9.tr,0.004196949534240967,77,0.07099565987274906,reno,1,simulation9
ex1_tahoe_cbr1_simulation9.tr,0.0038972542072630645,89,0.07476524832589321,tahoe,1,simulation9
ex1_newreno_cbr1_simulation9.tr,0.003463045657523011,87,0.07329468416030642,newreno,1,simulation9
ex1_vegas_cbr2_simulation9.tr,0.0,96,0.06341410093116354,vegas,2,simulation9
ex1_reno_cbr2_simulation9.tr,0.004196949534240967,77,0.07099565987274906,reno,2,simulation9
ex1_tahoe_cbr2_simulation9.tr,0.0038972542072630645,89,0.07476524832589321,tahoe,2,simulation9
ex1_newreno_cbr2_simulation9.tr,0.003463045657523011,87,0.07329468416030642,newreno,2,simulation9
ex1_vegas_cbr4_simulation9.tr,0.0,96,0.06341410093116354,vegas,4,simulation9
ex1_reno_cbr4_simulation9.tr,0.004196949534240967,77,0.07099565987274906,reno,4,simulation9
ex1_tahoe_cbr4_simulation9.tr,0.0038972542072630645,89,0.07476524832589321,tahoe,4,simulation9
ex1_newreno_cbr4_simulation9.tr,0.003463045657523011,87,0.07329468416030642,newreno,4,simulation9
ex1_vegas_cbr8_simulation9.tr,0.0,96,0.06341410093116354,vegas,8,simulation9
ex1_reno_cbr8_simulation9.tr,0.004196949534240967,77,0.07099565987274906,reno,8,simulation9
