,filename,drop_rate,throughput,RTT,varients,cbr_rate,simulation
0,ex1_vegas_cbr1mb_simulation0.tr,0.0,6.416666666666667,0.06307643651452426,vegas,1mb,simulation0
1,ex1_reno_cbr1mb_simulation0.tr,0.0035540211210398046,6.5,0.07213724429272607,reno,1mb,simulation0
2,ex1_tahoe_cbr1mb_simulation0.tr,0.0033118510562119585,7.333333333333333,0.07605144717283108,tahoe,1mb,simulation0
3,ex1_newreno_cbr1mb_simulation0.tr,0.003260278934975548,7.25,0.07312571940868133,newreno,1mb,simulation0
4,ex1_vegas_cbr3mb_simulation0.tr,0.0,6.0,0.06458633591416882,vegas,3mb,simulation0
5,ex1_reno_cbr3mb_simulation0.tr,0.0048775080368030155,5.916666666666667,0.07611719064535359,reno,3mb,simulation0
6,ex1_tahoe_cbr3mb_simulation0.tr,0.006029875291215568,4.75,0.07498011522090271,tahoe,3mb,simulation0
7,ex1_newreno_cbr3mb_simulation0.tr,0.0048775080368030155,5.916666666666667,0.07611719064535359,newreno,3mb,simulation0
8,ex1_vegas_cbr5mb_simulation0.tr,0.0,4.5,0.06648459045116893,vegas,5mb,simulation0
9,ex1_reno_cbr5mb_simulation0.tr,0.007686017988552739,4.0,0.075701264870729,reno,5mb,simulation0
10,ex1_tahoe_cbr5mb_simulation0.tr,0.008060182697474477,3.6666666666666665,0.07375814433796309,tahoe,5mb,simulation0
11,ex1_newreno_cbr5mb_simulation0.tr,0.007035928143712575,4.333333333333333,0.07521028987425574,newreno,5mb,simulation0
12,ex1_vegas_cbr7mb_simulation0.tr,0.0,2.8333333333333335,0.06646699768411116,vegas,7mb,simulation0
13,ex1_reno_cbr7mb_simulation0.tr,0.012749003984063744,2.4166666666666665,0.07604673120243713,reno,7mb,simulation0
14,ex1_tahoe_cbr7mb_simulation0.tr,0.01293103448275862,2.5,0.07733295153801648,tahoe,7mb,simulation0
15,ex1_newreno_cbr7mb_simulation0.tr,0.011843938690199722,2.75,0.0780197365156423,newreno,7mb,simulation0
16,ex1_vegas_cbr8mb_simulation0.tr,0.0,1.9166666666666667,0.06858717193948025,vegas,8mb,simulation0
17,ex1_reno_cbr8mb_simulation0.tr,0.022919179734620026,1.5833333333333333,0.07747954263183855,reno,8mb,simulation0
18,ex1_tahoe_cbr8mb_simulation0.tr,0.0219959266802444,1.5833333333333333,0.07592182302568994,tahoe,8mb,simulation0
19,ex1_newreno_cbr8mb_simulation0.tr,0.020781965480803098,1.8333333333333333,0.07890721126760541,newreno,8mb,simulation0
20,ex1_vegas_cbr1mb_simulation1.tr,0.0,6.2727272727272725,0.06307775911653032,vegas,1mb,simulation1
21,ex1_reno_cbr1mb_simulation1.tr,0.0039986290414714964,6.2727272727272725,0.07071396743456887,reno,1mb,simulation1
22,ex1_tahoe_cbr1mb_simulation1.tr,0.0036713633657471717,7.2727272727272725,0.07499411355541774,tahoe,1mb,simulation1
23,ex1_newreno_cbr1mb_simulation1.tr,0.003601080324097229,7.181818181818182,0.07408431856160963,newreno,1mb,simulation1
24,ex1_vegas_cbr3mb_simulation1.tr,0.0,5.909090909090909,0.0645267037717363,vegas,3mb,simulation1
25,ex1_reno_cbr3mb_simulation1.tr,0.005070014485755674,5.909090909090909,0.07540593481061733,reno,3mb,simulation1
26,ex1_tahoe_cbr3mb_simulation1.tr,0.0062139369729249895,4.818181818181818,0.07547164860167614,tahoe,3mb,simulation1
27,ex1_newreno_cbr3mb_simulation1.tr,0.005070014485755674,5.909090909090909,0.07540593481061733,newreno,3mb,simulation1
